repo,releases_count,open_issues_count,branches_count,pulls_count,readme_len,readme_avg_slen,readme_avg_wlen,readme_hcount,readme_snippets_count,readme_mcw,readme_example_count,readme_sample_count,readme_demonstration_count,readme_links,readme_links_count,readme_pmentions,readme_imentions,maven_projects_count,maven_plugins,maven_wars_count,maven_jars_count,maven_poms_count,junit_tests
DJ-Raven/java-messenger,0,0,1,3.0,1911,67.5,4.988888888888889,4,0,"['http', 'java', 'demo', 'messenger', 'using']",0,4,0,[],0,0,0,1.0,[],0.0,1.0,0.0,0.0
javpower/easy-flv,0,3,1,1.0,3629,30.529411764705884,5.15606936416185,13,4,"['stream', 'browser', 'video', 'conversion', 'interface']",0,0,0,"['![GitHub stars -> https://img.shields.io/github/stars/javpower/easy-flv.svg', '![GitHub issues -> https://img.shields.io/github/issues/javpower/easy-flv.svg', '![Apache License 2.0 -> https://img.shields.io/badge/license-Apache%202.0-blue.svg', '![Java Version -> https://img.shields.io/badge/java-1.8+-orange.svg', '![Spring Boot -> https://img.shields.io/badge/spring--boot-2.7.+-blue.svg', 'https://github.com/javpower/easy-flv -> https://github.com/javpower/easy-flv', 'https://gitee.com/giteeClass/easy-flv -> https://gitee.com/giteeClass/easy-flv']",7,0,0,1.0,"[ org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-deploy-plugin,org.apache.maven.plugins:maven-gpg-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.sonatype.plugins:nexus-staging-maven-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,1.0,0.0,0.0
serifpersia/esp32partitiontool,6,0,1,8.0,5361,30.08333333333333,5.666204986149585,19,7,"['tool', 'partition', 'csv', 'custom', 'arduino']",0,0,0,"['logo-icon -> https://github.com/user-attachments/assets/1463c312-1e81-4107-93be-0570c1b52532', 'Screenshot 1 -> https://github.com/serifpersia/esp32partitiontool/assets/62844718/8724d57c-ebb5-404f-97f1-fe09134f53b5', 'image -> https://github.com/user-attachments/assets/0a96d12d-0a71-4ba8-8134-8731e5dda2cf', 'platformioimagetool -> https://github.com/user-attachments/assets/58244ede-f31e-4f83-8e7f-d17d2b5c0625', '![Release -> https://img.shields.io/github/release/serifpersia/esp32partitiontool.svg?style=flat-square', 'issues -> https://github.com/serifpersia/esp32partitiontool/issues', 'contributions are welcome -> https://github.com/serifpersia/esp32partitiontool/tree/main/src/main/resources/l10n', 'x', 'x', 'x', 'x', 'x', 'platformio', 'env']",14,0,0,1.0,"[maven-clean-plugin,org.apache.maven.plugins:maven-jar-plugin]",0.0,1.0,0.0,0.0
xdev-software/spring-data-eclipse-store,18,2,11,145.0,5272,56.07142857142857,4.830573248407643,8,1,"['eclipsestore', 'demo', 'spring', 'data', 'library']",0,0,0,"['![Latest version -> https://img.shields.io/maven-central/v/software.xdev/spring-data-eclipse-store?logo=apache%20maven', '![Build -> https://img.shields.io/github/actions/workflow/status/xdev-software/spring-data-eclipse-store/check-build.yml?branch=develop', '![Quality Gate Status -> https://sonarcloud.io/api/project_badges/measure?project=xdev-software_spring-data-eclipse-store&metric=alert_status', '![Documentation -> https://img.shields.io/maven-central/v/software.xdev/spring-data-eclipse-store?label=docs', 'EclipseStore -> https://eclipsestore.io/', 'Spring environment -> https://spring.io/projects/spring-data/', 'Spring data repository concept -> https://docs.spring.io/spring-data/jpa/reference/repositories/core-concepts.html', 'working copies -> https://xdev-software.github.io/spring-data-eclipse-store/working-copies.html', 'Drop in compatible -> https://xdev-software.github.io/spring-data-eclipse-store/installation.html#drop-in-compatible', 'EclipseStore target -> https://docs.eclipsestore.io/manual/storage/storage-targets/index.html', 'PostgreSQL -> https://docs.eclipsestore.io/manual/storage/storage-targets/sql-databases/postgresql.html', 'AWS S3 -> https://docs.eclipsestore.io/manual/storage/storage-targets/blob-stores/aws-s3.html', 'IBM COS -> https://github.com/xdev-software/eclipse-store-afs-ibm-cos', 'IBM Cloud Pricing -> https://cloud.ibm.com/estimator/estimates', 'AWS Pricing Calculator -> https://calculator.aws/#/estimate?id=ab85cddf77f0d1aa0457111ed82785dfb836b1d8', 'Simple demo -> https://github.com/xdev-software/spring-data-eclipse-store/tree/develop/spring-data-eclipse-store-demo/src/main/java/software/xdev/spring/data/eclipse/store/demo/simple', 'Complex demo -> https://github.com/xdev-software/spring-data-eclipse-store/tree/develop/spring-data-eclipse-store-demo/src/main/java/software/xdev/spring/data/eclipse/store/demo/complex', 'Demo with coexisting JPA -> https://github.com/xdev-software/spring-data-eclipse-store/tree/develop/spring-data-eclipse-store-jpa/src/main/java/software/xdev/spring/data/eclipse/store/jpa', 'Dual storage demo -> https://github.com/xdev-software/spring-data-eclipse-store/tree/develop/spring-data-eclipse-store-demo/src/main/java/software/xdev/spring/data/eclipse/store/demo/dual/storage', 'our support -> https://xdev.software/en/services/support']",20,0,0,5.0,"[com.mycila:license-maven-plugin,org.apache.maven.plugins:maven-checkstyle-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-gpg-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-jxr-plugin,org.apache.maven.plugins:maven-pmd-plugin,org.apache.maven.plugins:maven-project-info-reports-plugin,org.apache.maven.plugins:maven-site-plugin,org.apache.maven.plugins:maven-source-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.codehaus.mojo:flatten-maven-plugin,org.sonatype.plugins:nexus-staging-maven-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,4.0,1.0,263.0
catchpoint/Tracing.examples-kubernetes-java,0,0,2,2.0,2877,10.432432432432432,5.582901554404145,12,7,"['opentelemetry', 'kubernetes', 'application', 'setup', 'run']",1,0,0,"['this -> https://birthday.play-with-docker.com/kubernetes-docker-desktop', 'here -> https://kubernetes.io/docs/tasks/tools/']",2,0,0,1.0,"[org.apache.maven.plugins:maven-assembly-plugin,org.apache.maven.plugins:maven-checkstyle-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.springframework.boot:spring-boot-maven-plugin,org.xolstice.maven.plugins:protobuf-maven-plugin]",0.0,1.0,0.0,23.0
oldmanpushcart/qianfan4j,1,0,1,0.0,25438,116.33333333333331,6.242478510028653,16,12,"['java', 'sdk', 'key', 'pluginapptestcase', 'queryscorefunction']",19,0,0,"['License -> https://img.shields.io/badge/License-Apache_2.0-green.svg', 'JDK17+ -> https://img.shields.io/badge/JDK-17+-blue.svg', 'LLM-文心一言 -> https://img.shields.io/badge/LLM-%E6%96%87%E5%BF%83%E4%B8%80%E8%A8%80-blue.svg', '百度智能云 -> https://cloud.baidu.com/', '创建一个应用 -> https://console.bce.baidu.com/qianfan/ais/console/applicationConsole/application', 'PluginAppTestCase -> https://github.com/oldmanpushcart/qianfan4j/blob/main/src/test/java/io/github/oldmanpushcart/test/qianfan4j/pluginapp/PluginAppTestCase.java', 'QueryScoreFunction -> https://github.com/oldmanpushcart/qianfan4j/blob/main/src/test/java/io/github/oldmanpushcart/test/qianfan4j/chat/function/QueryScoreFunction.java', 'ComputeAvgScoreFunction -> https://github.com/oldmanpushcart/qianfan4j/blob/main/src/test/java/io/github/oldmanpushcart/test/qianfan4j/chat/function/ComputeAvgScoreFunction.java', '文生图-猫 -> https://ompc-images.oss-cn-hangzhou.aliyuncs.com/erniebot4j/gen-image-as-mr0hyfmsix-001.png', '千帆大模型平台 -> https://console.bce.baidu.com/qianfan/overview', 'compute_avg_score', 'query_score', 'compute_avg_score', 'query_score', 'compute_avg_score', 'query_score', 'compute_avg_score', 'compute_avg_score', 'compute_avg_score', 'query_score', 'compute_avg_score', 'compute_avg_score', 'compute_avg_score', 'compute_avg_score']",24,0,0,1.0,"[org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-gpg-plugin,org.apache.maven.plugins:maven-javadoc-plugin,org.apache.maven.plugins:maven-source-plugin,org.sonatype.central:central-publishing-maven-plugin]",0.0,1.0,0.0,10.0
vishalmysore/sam,0,1,1,0.0,18437,89.24,6.311519497982967,15,20,"['action', 'prompt', 'convert', 'image', 'custom']",2,1,0,"['here -> https://www.linkedin.com/pulse/large-action-model-gemini-java-vishal-mysore-qki8c?trackingId=MuqKH2YZNwe74wisqhMSuw%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/image-recognition-function-calling-gemini-java-vishal-mysore-sz5zc?trackingId=lpJITsmYD0XPgdaG676jmA%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/enterprise-ai-hub-llm-agent-built-openai-java-vishal-mysore-0p7oc?trackingId=qE91gQ%2Bngtn4vI45pxJEgg%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/selenium-ai-automation-image-processing-gemini-vishal-mysore-fihwc?trackingId=8N9y2fCuYRDzmju9dREwVw%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/selenium-ai-automation-image-processing-gemini-vishal-mysore-fihwc?trackingId=8N9y2fCuYRDzmju9dREwVw%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/selenium-ai-automation-image-processing-gemini-vishal-mysore-fihwc?trackingId=8N9y2fCuYRDzmju9dREwVw%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/selenium-ai-automation-image-processing-gemini-vishal-mysore-fihwc?trackingId=8N9y2fCuYRDzmju9dREwVw%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/selenium-ai-automation-image-processing-gemini-vishal-mysore-fihwc/?trackingId=r0XIS0PtQZWrCqbgZwLbww%3D%3D', 'here -> https://www.linkedin.com/pulse/spring-action-integrating-ai-applications-vishal-mysore-ogjkc?trackingId=qsUWss8mwUVYSijqTD1SRA%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/action-all-you-need-moving-beyond-conversation-ai-vishal-mysore-sukfc?trackingId=XieWREfuTm3Lsb4uZkpAdw%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/http-endpoints-large-action-model-complete-ai-vishal-mysore-vhhmc?trackingId=Lht%2FqIlOATU5k3j8pznjKA%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/advanced-prompt-processing-java-parallel-data-more-vishal-mysore-7gtoc?trackingId=VNYgjVXcGDpkWkLNz0JPow%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/sam-simple-action-model-java-vishal-mysore-nmwec?trackingId=wFNZtf8A30JnMvWUjJhfiA%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/large-action-model-gemini-java-vishal-mysore-qki8c?trackingId=MuqKH2YZNwe74wisqhMSuw%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/building-autonomous-ai-agent-java-action-scripts-vishal-mysore-p3mbf?trackingId=Y6X67pUWoycIGQHaYexn9w%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/ai-development-java-gemini-vishal-mysore-7puqc?trackingId=VUqUIPcf%2BLLOR5z1kOYWwA%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/enhancing-ai-decision-making-multi-ai-voting-mechanism-vishal-mysore-qlpxc?trackingId=NQ4m7eoWn97yJ50C7iBcMw%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here]( [here -> https://www.linkedin.com/pulse/kubernetes-management-ai-using-tools4ai-vishal-mysore-d4jxc?trackingId=sBUyZg%2BykR9dTx%2FTwineiQ%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3Basc8boqLRvqWpXTf9SUEpA%3D%3D', 'here -> https://www.linkedin.com/pulse/enterprise-ai-hub-llm-agent-built-openai-java-vishal-mysore-0p7oc?trackingId=074SlSqIoJkEJFEkOC98QA%3D%3D&lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_recent_activity_content_view%3B68UQVWs4SiW1kIcA14PsKg%3D%3D', 'here -> https://www.linkedin.com/pulse/detect-ai-hallucinations-rag-routing-branching-chaining-vishal-mysore-jrzic', 'here -> https://www.linkedin.com/pulse/ai-bias-what-does-mean-vishal-mysore-0atsc']",21,0,0,1.0,"[maven-assembly-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.codehaus.mojo:exec-maven-plugin]",0.0,1.0,0.0,0.0
undermad/diet-generator-api,0,0,4,17.0,67023,19.86190476190476,6.051786142411892,111,63,"['application', 'layer', 'method', 'object', 'diet']",5,2,0,"['Java -> https://img.shields.io/badge/java-%23ED8B00.svg?style=for-the-badge&logo=openjdk&logoColor=white', 'Spring Boot -> https://img.shields.io/badge/Spring%20Boot-6DB33F?style=for-the-badge&logo=spring-boot&logoColor=white', 'MongoDB -> https://img.shields.io/badge/MongoDB-47A248?style=for-the-badge&logo=mongodb&logoColor=white', 'Apache Maven -> https://img.shields.io/badge/Apache%20Maven-C71A36?style=for-the-badge&logo=Apache%20Maven&logoColor=white', 'Docker -> https://img.shields.io/badge/Docker-2496ED?style=for-the-badge&logo=docker&logoColor=white', 'TypeScript -> https://img.shields.io/badge/TypeScript-3178C6?style=for-the-badge&logo=typescript&logoColor=white', 'React -> https://img.shields.io/badge/react-%2320232a.svg?style=for-the-badge&logo=react&logoColor=%2361DAFB', 'Vite -> https://img.shields.io/badge/vite-%23646CFF.svg?style=for-the-badge&logo=vite&logoColor=white', 'NPM -> https://img.shields.io/badge/NPM-%23CB3837.svg?style=for-the-badge&logo=npm&logoColor=white', 'MaterialUI -> https://img.shields.io/badge/Material--UI-007FFF?style=for-the-badge&logo=mui&logoColor=white', 'https://www.fatatu.com -> https://www.fatatu.com', 'LINK -> https://docs.docker.com/engine/install/', 'LINK -> https://docs.docker.com/compose/install/', 'LINK -> https://www.calorieninjas.com/register', 'LINK -> https://calorieninjas.com/profile', 'LINK -> https://github.com/git-guides/install-git', 'LINK -> http://localhost:5173/', 'SWAGGER -> http://localhost:8080/swagger-ui/index.html', 'LINK -> https://100commitow.pl/', 'PL -> https://www.youtube.com/@DevMentorsPL', 'ENG -> https://www.youtube.com/@DevMentorsEN', '100commits -> https://100commitow.pl/', 'LINK -> https://c4model.com/', 'Product Code screenshot', 'Filler Code screenshot', 'Nutrients Code screenshot', 'Calories Code screenshot', 'Carbohydrates Code screenshot', 'Proteins Code screenshot', 'Fats Code screenshot', 'Recipe Code screenshot', 'MealType Code screenshot', 'MealType Code screenshot', 'BigDecimal Code Usage screenshot', 'Dish Code screenshot', 'Diet Code screenshot', 'BMICalculator Code screenshot', 'BMRCalculator Code screenshot', 'MifflinCalculator Code screenshot', 'BMRAttributes Code screenshot', 'BaseMetabolicRate Code screenshot', 'ActiveLevel Code screenshot', 'MacroCalculator Code screenshot', 'MacroCalculatorFactory Code screenshot', 'MacroCalculator Code screenshot', 'HighProteinMacroCalculator Code screenshot', 'Macronutrient Code screenshot', 'DietGeneratorImpl members and constructor Code screenshot', 'DietGeneratorImpl generate Code screenshot', 'DietGeneratorImpl addDishes Code screenshot', 'Dish createDish Code screenshot', 'DietGenerator adjustMacronutrient Code screenshot', 'Diet increase macro Code screenshot', 'Dish increaseFiller Code screenshot', 'Dish reduceFiller Code screenshot', 'ShoppingListGenerator Code screenshot', 'Bean registration screenshot', 'CORS config screenshot', 'GlobalExceptionHandler config screenshot', 'MongoUUID screenshot', 'Before Convert Event screenshot', 'Domain Mapper screenshot', 'Spring Data Repo screenshot', 'Mongo Impl Repo screenshot']",64,0,0,1.0,[org.springframework.boot:spring-boot-maven-plugin],0.0,1.0,0.0,47.0
1brc/nodejs,0,0,1,3.0,11259,21.32926829268293,4.723842195540309,14,5,"['implementation', 'file', 'result', 'station', 'value']",2,0,0,"['link -> https://github.com/1brc/nodejs/blob/main/src/main/nodejs/Edgar-P-yan/index.js', 'Edgar Pogosyan -> https://github.com/Edgar-P-yan', 'link -> https://github.com/1brc/nodejs/blob/main/src/main/nodejs/baseline/index.js', 'Edgar Pogosyan -> https://github.com/Edgar-P-yan', 'Java 21 -> https://openjdk.org/projects/jdk/21/', '1brc/nodejs -> https://github.com/1brc/nodejs/', 'GitHub Discussions -> https://github.com/gunnarmorling/onebrc/discussions', 'set-up scripts -> https://github.com/gunnarmorling/cloud-boxes/', 'Show and tell -> https://github.com/gunnarmorling/1brc/discussions/categories/show-and-tell', 'here -> https://www.graalvm.org/22.0/reference-manual/native-image/ImplementingNativeMethodsInJavaWithSVM/']",10,0,0,1.0,"[com.mycila:license-maven-plugin,net.revelc.code.formatter:formatter-maven-plugin,net.revelc.code:impsort-maven-plugin,org.apache.maven.plugins:maven-clean-plugin,org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-deploy-plugin,org.apache.maven.plugins:maven-enforcer-plugin,org.apache.maven.plugins:maven-install-plugin,org.apache.maven.plugins:maven-jar-plugin,org.apache.maven.plugins:maven-resources-plugin,org.apache.maven.plugins:maven-site-plugin,org.apache.maven.plugins:maven-surefire-plugin,org.apache.maven.plugins:maven-wrapper-plugin]",0.0,1.0,0.0,0.0
ismael221/OpenStreamify,0,0,3,8.0,9977,13.707865168539326,5.760655737704918,19,11,"['authentication', 'movie', 'jwt', 'access', 'minio']",2,0,0,['this tutorial -> https://www.digitalocean.com/community/tutorials/how-to-set-up-minio-object-storage-server-in-standalone-mode-on-ubuntu-20-04'],1,0,0,1.0,"[org.apache.maven.plugins:maven-jar-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,1.0,0.0,0.0
Tvenus/blockchain,0,0,1,0.0,123,11.5,4.086956521739131,1,0,"['blockchain', 'peer', 'code', 'less', 'line']",0,0,0,[],0,0,0,1.0,"[org.apache.maven.plugins:maven-compiler-plugin,org.apache.maven.plugins:maven-shade-plugin]",0.0,1.0,0.0,0.0
jdubois/jdubois-langchain4j-demo,0,0,4,2.0,6909,20.50943396226415,4.928242870285189,10,1,"['model', 'using', 'azure', 'ollama', 'set']",1,0,0,"['Julien Dubois -> https://www.julien-dubois.com', 'http://localhost:6333/dashboard -> http://localhost:6333/dashboard', 'http://localhost:8081/ -> http://localhost:8081/', 'http://localhost:6333/dashboard -> http://localhost:6333/dashboard', 'here -> https://github.com/marketplace/models', 'http://localhost:6333/dashboard -> http://localhost:6333/dashboard', 'http://localhost:8081 -> http://localhost:8081', 'http://localhost:8080/ -> http://localhost:8080/']",8,0,0,1.0,"[org.graalvm.buildtools:native-maven-plugin,org.springframework.boot:spring-boot-maven-plugin]",0.0,1.0,0.0,0.0
